question,context,ground_truth,keywords,context_answer
Chồng có quyền ly hôn khi vợ mang thai không?,"TÒA ÁN NHÂN DÂN TỐI CAO - VIỆN KIỂM SÁT NHÂN DÂN TỐI CAO - BỘ TƯ PHÁP CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 01/2016/TTLT-TANDTC-VKSNDTC-BTP Hà Nội, ngày 06 tháng 01 năm 2016 THÔNG TƯ LIÊN TỊCH HƯỚNG DẪN THI HÀNH MỘT SỐ QUY ĐỊNH CỦA LUẬT HÔN NHÂN VÀ GIA ĐÌNH Căn cứ Luật ban hành văn bản quy phạm pháp luật số 17/2008/QH12; Căn cứ Luật hôn nhân và gia đình số 52/2014/QH13; Căn cứ Luật tổ chức Tòa án nhân dân số 62/2014/QH13; Căn cứ Luật tổ chức Viện kiểm sát nhân dân số 63/2014/QH13; Căn cứ Nghị định số 22/2013/NĐ-CP ngày 13 tháng 3 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tư pháp; Chánh án Tòa án nhân dân tối cao, Viện trưởng Viện kiểm sát nhân dân tối cao, Bộ trưởng Bộ Tư pháp ban hành Thông tư liên tịch hướng dẫn thi hành một số quy định của Luật hôn nhân và gia đình số 52/2014/QH13 như sau: Điều 1. Phạm vi điều chỉnh","Theo Điều 51 Luật Hôn nhân và gia đình 2014, chồng có quyền ly hôn khi vợ mang thai. Tuy nhiên, việc ly hôn cần được xem xét kỹ lưỡng và dựa trên các quy định của pháp luật.","ly hôn, vợ mang thai, Luật Hôn nhân","Chồng có thể yêu cầu ly hôn khi vợ mang thai, nhưng cần xem xét các quy định của pháp luật và đảm bảo quyền lợi của cả hai bên."
Luật Hôn nhân và gia đình số 52/2014/QH13 quy định về vấn đề gì?,"TÒA ÁN NHÂN DÂN TỐI CAO - VIỆN KIỂM SÁT NHÂN DÂN TỐI CAO - BỘ TƯ PHÁP CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 01/2016/TTLT-TANDTC-VKSNDTC-BTP Hà Nội, ngày 06 tháng 01 năm 2016 THÔNG TƯ LIÊN TỊCH HƯỚNG DẪN THI HÀNH MỘT SỐ QUY ĐỊNH CỦA LUẬT HÔN NHÂN VÀ GIA ĐÌNH Căn cứ Luật ban hành văn bản quy phạm pháp luật số 17/2008/QH12; Căn cứ Luật hôn nhân và gia đình số 52/2014/QH13; Căn cứ Luật tổ chức Tòa án nhân dân số 62/2014/QH13; Căn cứ Luật tổ chức Viện kiểm sát nhân dân số 63/2014/QH13; Căn cứ Nghị định số 22/2013/NĐ-CP ngày 13 tháng 3 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tư pháp; Chánh án Tòa án nhân dân tối cao, Viện trưởng Viện kiểm sát nhân dân tối cao, Bộ trưởng Bộ Tư pháp ban hành Thông tư liên tịch hướng dẫn thi hành một số quy định của Luật hôn nhân và gia đình số 52/2014/QH13 như sau: Điều 1. Phạm vi điều chỉnh","Luật Hôn nhân và gia đình số 52/2014/QH13 quy định về các vấn đề liên quan đến hôn nhân và gia đình, bao gồm cả việc kết hôn, ly hôn, quyền và nghĩa vụ của vợ chồng, quan hệ giữa cha mẹ và con cái, và các vấn đề khác liên quan đến gia đình.","Luật Hôn nhân, gia đình, quyền và nghĩa vụ","Luật Hôn nhân và gia đình số 52/2014/QH13 quy định về các vấn đề liên quan đến hôn nhân, ly hôn, và quan hệ gia đình."
Điều kiện kết hôn theo pháp luật là gì?,"Điều 1. Phạm vi điều chỉnh Thông tư liên tịch này hướng dẫn thi hành quy định về xử lý việc kết hôn trái pháp luật, thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu và nguyên tắc giải quyết tài sản của vợ chồng khi ly hôn tại các điều 11, 50 và 59 của Luật hôn nhân và gia đình. Điều 2. Căn cứ hủy việc kết hôn trái pháp luật Khi giải quyết yêu cầu hủy việc kết hôn trái pháp luật, Tòa án phải căn cứ vào điều kiện kết hôn quy định tại Điều 8 của Luật hôn nhân và gia đình để xem xét, quyết định xử lý việc kết hôn trái pháp luật và lưu ý một số điểm như sau: 1. “Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên” quy định tại điểm a khoản 1 Điều 8 của Luật hôn nhân và gia đình là trường hợp nam đã đủ hai mươi tuổi, nữ đã đủ mười tám tuổi trở lên và được xác định theo ngày, tháng, năm sinh.","Theo Điều 8 của Luật hôn nhân và gia đình, điều kiện kết hôn là nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên. Điều này được quy định tại điểm a khoản 1 Điều 8 của Luật hôn nhân và gia đình.","điều kiện kết hôn, tuổi kết hôn, Luật hôn nhân","Điều kiện kết hôn theo pháp luật là nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên."
Làm thế nào để xác định tuổi kết hôn khi không biết ngày sinh?,"Điều 1. Phạm vi điều chỉnh Thông tư liên tịch này hướng dẫn thi hành quy định về xử lý việc kết hôn trái pháp luật, thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu và nguyên tắc giải quyết tài sản của vợ chồng khi ly hôn tại các điều 11, 50 và 59 của Luật hôn nhân và gia đình. Điều 2. Căn cứ hủy việc kết hôn trái pháp luật Khi giải quyết yêu cầu hủy việc kết hôn trái pháp luật, Tòa án phải căn cứ vào điều kiện kết hôn quy định tại Điều 8 của Luật hôn nhân và gia đình để xem xét, quyết định xử lý việc kết hôn trái pháp luật và lưu ý một số điểm như sau: 1. “Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên” quy định tại điểm a khoản 1 Điều 8 của Luật hôn nhân và gia đình là trường hợp nam đã đủ hai mươi tuổi, nữ đã đủ mười tám tuổi trở lên và được xác định theo ngày, tháng, năm sinh. Trường hợp không xác định được ngày sinh, tháng sinh thì thực hiện như sau: a) Nếu xác định được năm sinh như","Theo quy định, nếu không xác định được ngày sinh, tháng sinh thì sẽ thực hiện theo quy định tại điểm a) của Điều 2, tuy nhiên chi tiết thực hiện không được nêu đầy đủ trong đoạn luật này.","xác định tuổi kết hôn, không biết ngày sinh, Luật hôn nhân","Nếu không xác định được ngày sinh, tháng sinh thì sẽ thực hiện theo quy định tại điểm a) của Điều 2."
Chị B có đủ tuổi kết hôn vào ngày 08-01-2015 không?,"không xác định được ngày sinh, tháng sinh thì thực hiện như sau: a) Nếu xác định được năm sinh nhưng không xác định được tháng sinh thì tháng sinh được xác định là tháng một của năm sinh; b) Nếu xác định được năm sinh, tháng sinh nhưng không xác định được ngày sinh thì ngày sinh được xác định là ngày mùng một của tháng sinh. Ví dụ: Chị B sinh ngày 10-01-1997, đến ngày 08-01-2015 chị B đăng ký kết hôn với anh A tại Ủy ban nhân dân xã X. Tại thời điểm đăng ký kết hôn chị B chưa đủ 18 tuổi (ngày chị B đủ 18 tuổi là ngày 10-01-2015), như vậy, theo quy định tại khoản 1 Điều 9 của Luật hôn nhân và gia đình năm 2000 thì chị B đã đủ tuổi kết hôn, tuy nhiên vì ngày chị B đăng ký kết hôn Luật hôn nhân và gia đình đã có hiệu lực (ngày 01-01-2015) nên chị B đã vi phạm điều kiện về tuổi kết hôn quy định tại điểm a khoản 1 Điều 8 của Luật hôn nhân và gia đình.","Chị B không đủ tuổi kết hôn vào ngày 08-01-2015 vì theo quy định tại điểm a khoản 1 Điều 8 của Luật hôn nhân và gia đình, chị B phải đủ 18 tuổi để kết hôn, và chị B chỉ đủ 18 tuổi vào ngày 10-01-2015.","tuổi kết hôn, điều kiện kết hôn, Luật hôn nhân",Chị B không đủ tuổi kết hôn vào ngày 08-01-2015 vì chưa đủ 18 tuổi.
Điều kiện về tuổi kết hôn được quy định tại đâu?,"không xác định được ngày sinh, tháng sinh thì thực hiện như sau: a) Nếu xác định được năm sinh nhưng không xác định được tháng sinh thì tháng sinh được xác định là tháng một của năm sinh; b) Nếu xác định được năm sinh, tháng sinh nhưng không xác định được ngày sinh thì ngày sinh được xác định là ngày mùng một của tháng sinh. Ví dụ: Chị B sinh ngày 10-01-1997, đến ngày 08-01-2015 chị B đăng ký kết hôn với anh A tại Ủy ban nhân dân xã X. Tại thời điểm đăng ký kết hôn chị B chưa đủ 18 tuổi (ngày chị B đủ 18 tuổi là ngày 10-01-2015), như vậy, theo quy định tại khoản 1 Điều 9 của Luật hôn nhân và gia đình năm 2000 thì chị B đã đủ tuổi kết hôn, tuy nhiên vì ngày chị B đăng ký kết hôn Luật hôn nhân và gia đình đã có hiệu lực (ngày 01-01-2015) nên chị B đã vi phạm điều kiện về tuổi kết hôn quy định tại điểm a khoản 1 Điều 8 của Luật hôn nhân và gia đình.",Điều kiện về tuổi kết hôn được quy định tại điểm a khoản 1 Điều 8 của Luật hôn nhân và gia đình.,"điều kiện kết hôn, tuổi kết hôn, Luật hôn nhân",Điều kiện về tuổi kết hôn được quy định tại điểm a khoản 1 Điều 8 của Luật hôn nhân và gia đình.
Chồng có thể ly hôn khi vợ đang mang thai không?,tự nguyện quyết định” quy định tại điểm b khoản 1 Điều 8 của Luật hôn nhân và gia đình là trường hợp nam nữ xác lập quan hệ vợ chồng với nhau hoàn toàn tự do theo ý chí của họ. “Lừa dối kết hôn” quy định tại điểm b khoản 2 Điều 5 của Luật hôn nhân và gia đình là hành vi cố ý của một bên hoặc của người thứ ba nhằm làm cho bên kia hiểu sai lệch và dẫn đến việc đồng ý kết hôn; nếu không có hành vi này thì bên bị lừa dối đã không đồng ý kết hôn. “Người đang có vợ hoặc có chồng” quy định tại điểm c khoản 2 Điều 5 của Luật hôn nhân và gia đình là người thuộc một trong các trường hợp sau đây: a) Người đã kết hôn với người khác theo đúng quy định của pháp luật về hôn nhân và gia đình nhưng chưa ly hôn hoặc không có sự kiện vợ (chồng) của họ chết hoặc vợ (chồng) của họ không bị tuyên bố là đã chết; b) Người xác lập quan hệ vợ chồng với người khác trước ngày 03-01-1987 mà chưa đăng ký kết hôn và chưa ly hôn hoặc không có sự kiện vợ (chồng) của họ chết hoặc vợ (chồng) của họ không bị tuyên bố là đã chết;,"Theo quy định của Luật Hôn nhân và gia đình, chồng có thể ly hôn khi vợ đang mang thai. Tuy nhiên, việc ly hôn cần phải được xem xét kỹ lưỡng và tuân thủ các quy định của pháp luật. (Khoản 3 Điều 51 Luật Hôn nhân và gia đình)","ly hôn, vợ mang thai, quy định pháp luật","Chồng có thể ly hôn khi vợ đang mang thai, nhưng cần xem xét kỹ lưỡng và tuân thủ các quy định của pháp luật."
Lừa dối kết hôn là gì?,tự nguyện quyết định” quy định tại điểm b khoản 1 Điều 8 của Luật hôn nhân và gia đình là trường hợp nam nữ xác lập quan hệ vợ chồng với nhau hoàn toàn tự do theo ý chí của họ. “Lừa dối kết hôn” quy định tại điểm b khoản 2 Điều 5 của Luật hôn nhân và gia đình là hành vi cố ý của một bên hoặc của người thứ ba nhằm làm cho bên kia hiểu sai lệch và dẫn đến việc đồng ý kết hôn; nếu không có hành vi này thì bên bị lừa dối đã không đồng ý kết hôn. “Người đang có vợ hoặc có chồng” quy định tại điểm c khoản 2 Điều 5 của Luật hôn nhân và gia đình là người thuộc một trong các trường hợp sau đây: a) Người đã kết hôn với người khác theo đúng quy định của pháp luật về hôn nhân và gia đình nhưng chưa ly hôn hoặc không có sự kiện vợ (chồng) của họ chết hoặc vợ (chồng) của họ không bị tuyên bố là đã chết; b) Người xác lập quan hệ vợ chồng với người khác trước ngày 03-01-1987 mà chưa đăng ký kết hôn và chưa ly hôn hoặc không có sự kiện vợ (chồng) của họ chết hoặc vợ (chồng) của họ không bị tuyên bố là đã chết;,Lừa dối kết hôn là hành vi cố ý của một bên hoặc của người thứ ba nhằm làm cho bên kia hiểu sai lệch và dẫn đến việc đồng ý kết hôn. (Điểm b khoản 2 Điều 5 Luật Hôn nhân và gia đình),"lừa dối kết hôn, hành vi cố ý, đồng ý kết hôn",Lừa dối kết hôn là hành vi cố ý làm cho bên kia hiểu sai lệch và dẫn đến việc đồng ý kết hôn.
Kết hôn khi một bên bị cưỡng ép kết hôn hoặc bị lừa dối kết hôn có vi phạm điều kiện kết hôn không?,"ng ký kết hôn và chưa ly hôn hoặc không có sự kiện vợ (chồng) của họ chết hoặc vợ (chồng) của họ không bị tuyên bố là đã chết; c) Người đã kết hôn với người khác vi phạm điều kiện kết hôn theo quy định của Luật hôn nhân và gia đình nhưng đã được Tòa án công nhận quan hệ hôn nhân bằng bản án, quyết định của Tòa án đã có hiệu lực pháp luật và chưa ly hôn hoặc không có sự kiện vợ (chồng) của họ chết hoặc vợ (chồng) của họ không bị tuyên bố là đã chết. 5. Việc xác định thời điểm “cả hai bên kết hôn đã có đủ các điều kiện kết hôn” quy định tại khoản 2 Điều 11 của Luật hôn nhân và gia đình phải căn cứ vào các quy định của pháp luật. Tòa án yêu cầu đương sự xác định và cung cấp các tài liệu, chứng cứ để xác định thời điểm cả hai bên kết hôn đã có đủ các điều kiện kết hôn theo quy định tại Điều 8 của Luật hôn nhân và gia đình. Ví dụ 1: Trường hợp kết hôn khi một bên bị cưỡng ép kết hôn hoặc bị lừa dối kết hôn là vi phạm điều kiện kết hôn quy định tại điểm d khoản 1 Điều 8 của Luật",Kết hôn khi một bên bị cưỡng ép kết hôn hoặc bị lừa dối kết hôn là vi phạm điều kiện kết hôn theo quy định tại điểm d khoản 1 Điều 8 của Luật hôn nhân và gia đình.,"kết hôn, cưỡng ép, lừa dối",Kết hôn khi một bên bị cưỡng ép hoặc bị lừa dối là vi phạm điều kiện kết hôn.
Thời điểm xác định cả hai bên kết hôn đã có đủ các điều kiện kết hôn được quy định như thế nào?,"ng ký kết hôn và chưa ly hôn hoặc không có sự kiện vợ (chồng) của họ chết hoặc vợ (chồng) của họ không bị tuyên bố là đã chết; c) Người đã kết hôn với người khác vi phạm điều kiện kết hôn theo quy định của Luật hôn nhân và gia đình nhưng đã được Tòa án công nhận quan hệ hôn nhân bằng bản án, quyết định của Tòa án đã có hiệu lực pháp luật và chưa ly hôn hoặc không có sự kiện vợ (chồng) của họ chết hoặc vợ (chồng) của họ không bị tuyên bố là đã chết. 5. Việc xác định thời điểm “cả hai bên kết hôn đã có đủ các điều kiện kết hôn” quy định tại khoản 2 Điều 11 của Luật hôn nhân và gia đình phải căn cứ vào các quy định của pháp luật. Tòa án yêu cầu đương sự xác định và cung cấp các tài liệu, chứng cứ để xác định thời điểm cả hai bên kết hôn đã có đủ các điều kiện kết hôn theo quy định tại Điều 8 của Luật hôn nhân và gia đình. Ví dụ 1: Trường hợp kết hôn khi một bên bị cưỡng ép kết hôn hoặc bị lừa dối kết hôn là vi phạm điều kiện kết hôn quy định tại điểm d khoản 1 Điều 8 của Luật","Thời điểm xác định cả hai bên kết hôn đã có đủ các điều kiện kết hôn được quy định tại khoản 2 Điều 11 của Luật hôn nhân và gia đình, và phải căn cứ vào các quy định của pháp luật.","thời điểm, điều kiện kết hôn, Luật hôn nhân",Thời điểm xác định cả hai bên kết hôn đã có đủ các điều kiện kết hôn được quy định tại khoản 2 Điều 11 của Luật hôn nhân và gia đình.
